ga:country,ga:region,ga:city,ga:users
United States,Texas,Houston,97
Canada,Quebec,Montreal,73
Canada,Alberta,Calgary,35
Canada,Ontario,Ottawa,25
United States,California,San Francisco,22
United Kingdom,England,London,20
United States,New York,New York,19
Canada,Ontario,Toronto,19
Canada,Quebec,Quebec City,16
United States,Georgia,Atlanta,10
United States,Texas,Sugar Land,9
United States,Texas,The Woodlands,9
United States,Connecticut,Stamford,8
Canada,Ontario,Mississauga,8
United States,California,Palo Alto,7
United States,California,San Jose,7
United States,Washington,Seattle,6
United States,Texas,Austin,6
United States,Texas,Dallas,6
Canada,Quebec,Chicoutimi,6
Brazil,Sao Paulo,Sao Paulo,6
United States,Pennsylvania,Feasterville-Trevose,5
United States,California,Santa Clara,5
United Kingdom,England,Hertfordshire,4
Russia,Republic of Bashkortostan,Sterlitamak,4
Netherlands,South Holland,Rotterdam,4
Japan,Kanagawa,Yokohama,4
Canada,Quebec,La Baie,4
Canada,Quebec,Saint-Lin-Laurentides,4
Canada,British Columbia,Vancouver,4
Australia,Queensland,Gladstone,4
United States,Texas,Richardson,3
United States,South Carolina,Columbia,3
United States,New Jersey,Hoboken,3
United States,Illinois,Chicago,3
United States,Illinois,Des Plaines,3
United States,California,San Rafael,3
United Kingdom,England,Burton upon Trent,3
Singapore,(not set),Singapore,3
Canada,Quebec,Gatineau,3
Canada,Quebec,Pointe-Claire,3
Canada,Quebec,Shawinigan,3
Canada,Alberta,Sherwood Park,3
United States,Washington,Bainbridge Island,2
United States,Pennsylvania,King of Prussia,2
United States,Pennsylvania,Trexlertown,2
United States,Oregon,Beaverton,2
United States,California,Danville,2
United States,California,Fairfield,2
United States,California,Foster City,2
United States,California,Los Angeles,2
United States,California,Mill Valley,2
United States,California,Milpitas,2
United States,California,Mountain View,2
United States,California,Stanford,2
United States,Arizona,New River,2
Peru,(not set),Lima,2
Mexico,Veracruz,Heroica Veracruz,2
France,Ile-de-France,Courbevoie,2
France,Ile-de-France,Paris,2
Ecuador,(not set),Ecuador,2
Canada,Quebec,Hull,2
Canada,Quebec,Laval,2
Canada,Quebec,Levis,2
Canada,Quebec,Sherbrooke,2
Brazil,State of Goias,Goiania,2
Brazil,Sao Paulo,Osasco,2
Brazil,Sao Paulo,Ribeirao Preto,2
Australia,Western Australia,Perth,2
Uruguay,Uruguay,(not set),1
United States,Washington,Spokane,1
