ga:country,ga:region,ga:city,ga:users
United States,Texas,Houston,57
United States,California,San Francisco,30
Canada,Quebec,Montreal,20
Canada,Ontario,Ottawa,14
Canada,Ontario,Toronto,14
Canada,Alberta,Calgary,12
United States,New York,New York,9
United States,California,San Jose,7
United Kingdom,England,London,5
Canada,Ontario,Mississauga,5
United States,Texas,Sugar Land,4
United States,California,Oakland,4
United States,California,Palo Alto,4
United States,California,Santa Clara,4
United States,California,Stanford,4
Australia,Western Australia,Perth,4
United States,Washington,Seattle,3
United States,Pennsylvania,Pittsburgh,3
United States,Illinois,Chicago,3
United States,Georgia,Roswell,3
United States,Connecticut,Stamford,3
United States,California,Los Angeles,3
United States,California,Milpitas,3
United States,California,Mountain View,3
United States,California,Sacramento,3
Canada,Quebec,Chicoutimi,3
Brazil,Sao Paulo,Sao Paulo,3
Brazil,Rio de Janeiro,Rio de Janeiro,3
United States,Virginia,Abingdon,2
United States,Texas,Dallas,2
United States,Texas,The Woodlands,2
United States,Massachusetts,Boston,2
United States,Kansas,Overland Park,2
United States,Georgia,Atlanta,2
United States,District of Columbia,Washington,2
United States,Connecticut,Westport,2
United States,Connecticut,Wilton,2
United States,Colorado,Denver,2
United States,California,Berkeley,2
United States,California,Menlo Park,2
United States,California,Pleasanton,2
United States,California,San Rafael,2
Portugal,Lisbon,Lisbon,2
Greece,Athens,Athens,2
Canada,Quebec,Alma,2
Canada,Quebec,Quebec City,2
Canada,Quebec,Repentigny,2
Canada,Quebec,Victoriaville,2
Brazil,Sao Paulo,Santos,2
Brazil,Rio de Janeiro,(not set),2
Brazil,Pernambuco,Recife,2
Brazil,Minas Gerais,Belo Horizonte,2
Venezuela,Lara,Barquisimeto,1
United States,West Virginia,Morgantown,1
United States,Washington,Bainbridge Island,1
United States,Washington,Bellevue,1
United States,Washington,Lacey,1
United States,Washington,Spokane,1
United States,Virginia,Fredericksburg,1
United States,Utah,Salt Lake City,1
United States,Texas,Cedar Park,1
United States,Texas,Lubbock,1
United States,Texas,Pearland,1
United States,Texas,San Antonio,1
United States,Tennessee,Sevierville,1
United States,South Carolina,Columbia,1
United States,Pennsylvania,Bethlehem,1
United States,Pennsylvania,Canonsburg,1
United States,Oregon,Medford,1
United States,Oregon,Salem,1
United States,Ohio,Beachwood,1
United States,Ohio,Gambier,1
United States,North Carolina,Wake Forest,1
United States,New York,Mamaroneck,1
United States,New York,New Rochelle,1
United States,New York,Rome,1
United States,New York,Troy,1
United States,New Jersey,East Brunswick,1
United States,New Jersey,Hoboken,1
United States,New Jersey,Wayne,1
United States,Montana,Kalispell,1
United States,Maryland,Frederick,1
United States,Illinois,Des Plaines,1
United States,Georgia,Cumming,1
United States,Florida,St. Petersburg,1
United States,Connecticut,Darien,1
United States,Colorado,Fort Morgan,1
United States,California,Culver City,1
United States,California,Dublin,1
United States,California,Foster City,1
United States,California,Garden Grove,1
United States,California,Richmond,1
United States,California,San Mateo,1
