ga:country,ga:region,ga:city,ga:users
Canada,Quebec,Montreal,95
Canada,Quebec,Chicoutimi,25
Canada,Quebec,Quebec City,22
Canada,Ontario,Ottawa,18
Canada,Ontario,Toronto,16
Canada,Ontario,Mississauga,10
Canada,Alberta,Calgary,10
Canada,Quebec,La Baie,6
United States,California,San Francisco,4
France,Brittany,Rennes,4
Canada,Quebec,Laval,4
France,Ile-de-France,Paris,3
Canada,Quebec,Gatineau,3
Canada,Quebec,Levis,3
Canada,Quebec,Repentigny,3
Canada,Quebec,Saint-Lin-Laurentides,3
Canada,Quebec,Shawinigan,3
Canada,Quebec,Sherbrooke,3
United States,Washington,Seattle,2
United States,New York,New York,2
United States,California,Palo Alto,2
United States,California,Santa Clara,2
France,Ile-de-France,Courbevoie,2
Canada,Quebec,Longueuil,2
Canada,Quebec,Mont-Saint-Hilaire,2
Canada,Quebec,Victoriaville,2
United States,Utah,Salt Lake City,1
United States,Texas,Austin,1
United States,Maryland,North Bethesda,1
United States,Maryland,Wheaton-Glenmont,1
United States,Connecticut,Stamford,1
United States,California,Milpitas,1
United States,California,Mountain View,1
United Kingdom,England,Reading,1
Tunisia,(not set),Tunis,1
Morocco,Tadla-Azilal,Beni-Mellal,1
Malaysia,Selangor,Puchong,1
India,(not set),Hyderabad,1
France,Ile-de-France,Cachan,1
France,Ile-de-France,Livry-Gargan,1
France,Ile-de-France,Verrieres-le-Buisson,1
Canada,Quebec,Alma,1
Canada,Quebec,Becancour,1
Canada,Quebec,Chateauguay,1
Canada,Quebec,Dorion,1
Canada,Quebec,Drummondville,1
Canada,Quebec,G0T,1
Canada,Quebec,Gaspe,1
Canada,Quebec,Granby,1
Canada,Quebec,La Malbaie,1
Canada,Quebec,La Pocatiere,1
Canada,Quebec,Mont-Tremblant,1
Canada,Quebec,Pointe-Claire,1
Canada,Quebec,Saint-Basile-le-Grand,1
Canada,Quebec,Saint-Jean-sur-Richelieu,1
Canada,Quebec,Sainte-Anne-de-Bellevue,1
Canada,Quebec,Sept-Iles,1
Canada,Quebec,Sorel,1
Canada,Quebec,Trois-Rivieres,1
Canada,British Columbia,Kitimat,1
Canada,Alberta,Edmonton,1
